experiment_family,run_root,run_name,run_directory,dataset_path,dataset_name,cleaned_dataset_path,feature_set_name,prediction_context,target_kind,selection_scope,subset_column,subset_value,tuning_applied,source_table,model_name,model_display_name,validation_macro_f1,validation_accuracy,test_macro_f1,test_accuracy,validation_r2,test_r2,validation_mae,test_mae,validation_feature_columns_before_encoding,test_feature_columns_before_encoding,best_params,is_best_validation_in_scope,is_best_test_in_scope
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,5.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,xgboost,XGBoost,0.5269270251305906,0.5282880235121235,0.4672788443280247,0.4691629955947136,,,,,18.0,18.0,,True,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,6.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3331704934049829,0.4996336996336996,0.3328445747800586,0.4989010989010989,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,6.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,logistic_regression,Logistic Regression,0.4746124837276717,0.4747252747252747,0.4703296703296703,0.4703296703296703,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,6.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,random_forest,Random Forest,0.4841026125572825,0.4842490842490842,0.5095489677640769,0.5098901098901099,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,6.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,xgboost,XGBoost,0.5002694775356655,0.5003663003663004,0.5180853996488836,0.5186813186813187,,,,,18.0,18.0,,True,True
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,7.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3336609336609336,0.5007374631268436,0.3333333333333333,0.5,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,7.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,logistic_regression,Logistic Regression,0.4969177240117242,0.4970501474926254,0.4878325149732909,0.4889380530973451,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,7.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,random_forest,Random Forest,0.5019085591958545,0.5029498525073747,0.4882141019042717,0.4889380530973451,,,,,18.0,18.0,,True,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,7.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,xgboost,XGBoost,0.4955357142857143,0.495575221238938,0.5066154335642086,0.5066371681415929,,,,,18.0,18.0,,False,True
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,8.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3336557059961315,0.5007256894049347,0.3333333333333333,0.5,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,8.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,logistic_regression,Logistic Regression,0.511410427144428,0.5123367198838897,0.5189081495994057,0.5195652173913043,,,,,18.0,18.0,,False,True
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,8.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,random_forest,Random Forest,0.5141635243990166,0.5145137880986937,0.4929390892962744,0.4934782608695652,,,,,18.0,18.0,,False,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,8.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,xgboost,XGBoost,0.5412676640940877,0.5413642960812772,0.5035877241144285,0.5043478260869565,,,,,18.0,18.0,,True,False
classification_stratified,qubit_stratified,20260313_203727,experiments/qubit_stratified/20260313_203727,data/raw/NISQ-FaultLogs-100K.csv,NISQ-FaultLogs-100K.csv,data/interim/nisq_fault_logs_cleaned.parquet,enhanced_topology,pre_execution,fault_type_classification,qubit_count subgroup,qubit_count,9.0,False,experiments/qubit_stratified/20260313_203727/qubit_model_comparison.csv,dummy_most_frequent,Dummy Most Frequent,0.3348039215686274,0.5033161385408991,0.3348017621145374,0.5033112582781457,,,,,18.0,18.0,,False,False
